Actual Distance,Pixels in 5 cm,Pixels in 10 cm,Multiplication Factor 5cm,Multiplication Factor 10cm
5.6,134,272,0.03731343284,0.03676470588
6,131,269,0.03816793893,0.03717472119
6.6,122,255,0.04098360656,0.03921568627
20,103,212,0.04854368932,0.04716981132
20.5,100,210,0.05,0.04761904762
21,99,202,0.05050505051,0.0495049505
21.5,92,195,0.05434782609,0.05128205128
22.1,91,188,0.05494505495,0.05319148936
23,88,182,0.05681818182,0.05494505495
23.5,88,181,0.05681818182,0.05524861878
24,87,177,0.05747126437,0.05649717514
24.5,83,172,0.06024096386,0.05813953488
25,83,172,0.06024096386,0.05813953488
25.5,81,169,0.06172839506,0.05917159763
26,79,166,0.06329113924,0.06024096386
26.5,77,158,0.06493506494,0.06329113924
27,76,157,0.06578947368,0.06369426752
27.5,74,154,0.06756756757,0.06493506494
28,73,149,0.06849315068,0.06711409396
28.5,71,148,0.07042253521,0.06756756757
29,69,147,0.07246376812,0.06802721088
29.5,68,142,0.07352941176,0.07042253521
30,65,140,0.07692307692,0.07142857143
30.5,64,137,0.078125,0.07299270073
31,64,136,0.078125,0.07352941176
31.5,62,131,0.08064516129,0.07633587786
32,60,130,0.08333333333,0.07692307692
32.5,59,129,0.08474576271,0.07751937984
33,59,127,0.08474576271,0.07874015748
33.5,58,125,0.08620689655,0.08
34,57,124,0.08771929825,0.08064516129
34.5,57,123,0.08771929825,0.08130081301
35,56,123,0.08928571429,0.08130081301
35.5,59,122,0.08474576271,0.08196721311
36,58,120,0.08620689655,0.08333333333
36.5,57,118,0.08771929825,0.08474576271
37,57,116,0.08771929825,0.08620689655
37.5,56,114,0.08928571429,0.08771929825
38,55,112,0.09090909091,0.08928571429
38.5,54,110,0.09259259259,0.09090909091
39,53,108,0.09433962264,0.09259259259
39.5,53,106,0.09433962264,0.09433962264
40,52,106,0.09615384615,0.09433962264
40.5,50,105,0.1,0.09523809524
41,50,105,0.1,0.09523809524
41.5,49,104,0.1020408163,0.09615384615
42,49,104,0.1020408163,0.09615384615
42.5,49,103,0.1020408163,0.09708737864
43,48,102,0.1041666667,0.09803921569
43.5,48,101,0.1041666667,0.09900990099
44,47,101,0.1063829787,0.09900990099