Sr. No.,Actual Distance,Lidar Distance,Pixels,Multiplication Factor
0,5,21,135,0.03703703704
1,5,22,129,0.03875968992
2,5,21,123,0.0406504065
3,5,23,117,0.04273504274
4,5,25,111,0.04504504505
5,5,24,105,0.04761904762
6,5,25,99,0.05050505051
7,5,25,95,0.05263157895
8,5,26,92,0.05434782609
9,5,28,88,0.05681818182
10,5,29,85,0.05882352941
11,5,29,85,0.05882352941
12,5,29,85,0.05882352941
13,5,28,81,0.06172839506
14,5,31,82,0.06097560976
15,5,30,80,0.0625
16,5,30,80,0.0625
17,5,31,78,0.0641025641
18,5,31,77,0.06493506494
19,5,32,74,0.06756756757
20,5,35,71,0.07042253521
21,5,35,70,0.07142857143
22,5,36,67,0.07462686567
23,5,35,65,0.07692307692
24,5,37,63,0.07936507937
25,5,38,62,0.08064516129
26,5,38,62,0.08064516129
27,5,40,60,0.08333333333
28,5,40,60,0.08333333333
29,5,42,58,0.08620689655
30,5,41,59,0.08474576271
31,5,40,58,0.08620689655
32,5,40,58,0.08620689655
33,5,41,56,0.08928571429
34,5,42,56,0.08928571429
35,5,43,55,0.09090909091
36,5,43,55,0.09090909091
37,5,43,55,0.09090909091
38,5,44,54,0.09259259259
39,5,44,54,0.09259259259
40,5,45,52,0.09615384615
41,5,45,52,0.09615384615
42,5,46,51,0.09803921569
43,5,48,51,0.09803921569
44,5,47,49,0.1020408163
45,5,49,49,0.1020408163
46,5,49,48,0.1041666667
47,5,48,50,0.1
48,5,47,50,0.1
49,5,50,47,0.1063829787
50,5,51,46,0.1086956522
51,5,51,46,0.1086956522
52,5,52,46,0.1086956522
53,5,51,46,0.1086956522
54,5,53,44,0.1136363636
55,5,53,45,0.1111111111
56,5,54,44,0.1136363636
57,5,53,44,0.1136363636
58,5,54,44,0.1136363636
59,5,55,45,0.1111111111